transaction_id,posting_date_raw,invoice_date_raw,fiscal_period,entity_code,account_code_raw,cost_center_raw,vendor_name_raw,invoice_number,po_number,currency_code,amount_raw,tax_code,narrative,source_system,posting_date,invoice_date,amount,amount_is_negative,narrative_lower,processing_timestamp,source_file
TXN000001,23-01-2026,16-01-2026,2026-01,AUS01,5620,,Adobe,INV30892,,AUD,6049.77,GST,Payment for license,Manual Entry,2026-01-23,2026-01-16,6049.77,False,payment for license,2026-02-23 16:50:30.516232,Raw_GL_Export.csv
TXN000002,26-02-2026,23-02-2026,2026-02,AUS01,5610,,Federal Express,INV73318,PO2850,NZD,27549.99,GST-FREE,Payment for consulting,Manual Entry,2026-02-26,2026-02-23,27549.99,False,payment for consulting,2026-02-23 16:50:30.516232,Raw_GL_Export.csv
TXN000003,2025-08-02,2025-07-28,2025-08,AUS01,5620,,McKinsey,INV97797,PO9504,AUD,31735.11,GST-FREE,Payment for license,API Import,2025-08-02,2025-07-28,31735.11,False,payment for license,2026-02-23 16:50:30.516232,Raw_GL_Export.csv
TXN000004,04-10-2025,30-09-2025,2025-10,AUS01,5500,,WeWork Australia,INV11526,PO3571,GBP,6774.58,GST,Payment for license,Manual Entry,2025-10-04,2025-09-30,6774.58,False,payment for license,2026-02-23 16:50:30.516232,Raw_GL_Export.csv
TXN000005,28-01-2026,25-01-2026,2026-01,AUS01,5020,,Hays,INV16599,PO7203,NZD,10916.04,INPUT,Payment for consulting,Oracle,2026-01-28,2026-01-25,10916.04,False,payment for consulting,2026-02-23 16:50:30.516232,Raw_GL_Export.csv
TXN000006,03-01-2026,26-12-2025,2026-01,AUS01,5900,,Optus Pty,INV51426,,AUD,38560.86,EXPORT,Payment for consulting,SAP,2026-01-03,2025-12-26,38560.86,False,payment for consulting,2026-02-23 16:50:30.516232,Raw_GL_Export.csv
TXN000007,04-01-2026,28-12-2025,2026-01,AUS01,5010,,AWS,INV76628,PO8474,AUD,35651.07,INPUT,Payment for subscription,Workday,2026-01-04,2025-12-28,35651.07,False,payment for subscription,2026-02-23 16:50:30.516232,Raw_GL_Export.csv
TXN000008,2026-01-27,2026-01-23,2026-01,AUS01,5920,,LinkedIn Corp,INV96136,PO8414,NZD,25250.77,EXPORT,Payment for services,SAP,2026-01-27,2026-01-23,25250.77,False,payment for services,2026-02-23 16:50:30.516232,Raw_GL_Export.csv
TXN000009,25/10/2025,24/10/2025,2025-10,AUS01,5310,,WeWork Australia,INV23935,,NZD,24691.31,INPUT,Payment for goods,Manual Entry,2025-10-25,2025-10-24,24691.31,False,payment for goods,2026-02-23 16:50:30.516232,Raw_GL_Export.csv
TXN000010,05-10-2025,03-10-2025,2025-10,AUS01,5220,,SAP,INV38257,PO4122,USD,5521.49,EXPORT,Payment for subscription,SAP,2025-10-05,2025-10-03,5521.49,False,payment for subscription,2026-02-23 16:50:30.516232,Raw_GL_Export.csv
TXN000011,25-02-2026,24-02-2026,2026-02,AUS01,5620,,Atlassian Pty,INV75382,,GBP,20636.72,GST-FREE,Payment for services,API Import,2026-02-25,2026-02-24,20636.72,False,payment for services,2026-02-23 16:50:30.516232,Raw_GL_Export.csv
TXN000012,14-02-2026,05-02-2026,2026-02,AUS01,5810,,Oracle,INV23573,PO6273,USD,32899.21,GST-FREE,Payment for license,Manual Entry,2026-02-14,2026-02-05,32899.21,False,payment for license,2026-02-23 16:50:30.516232,Raw_GL_Export.csv
TXN000013,14/02/2026,09/02/2026,2026-02,AUS01,5400,,BCG,INV28111,PO9393,NZD,20432.77,GST-FREE,Payment for subscription,API Import,2026-02-14,2026-02-09,20432.77,False,payment for subscription,2026-02-23 16:50:30.516232,Raw_GL_Export.csv
TXN000014,11/28/2025,11/19/2025,2025-11,AUS01,5620,,Workday,INV99995,PO3173,USD,9516.1,INPUT,Payment for goods,API Import,2025-11-28,2025-11-19,9516.1,False,payment for goods,2026-02-23 16:50:30.516232,Raw_GL_Export.csv
TXN000015,01/18/2026,01/16/2026,2026-01,AUS01,5810,,WeWork Australia,INV98374,PO9747,GBP,26268.0,EXPORT,Payment for subscription,Manual Entry,2026-01-18,2026-01-16,26268.0,False,payment for subscription,2026-02-23 16:50:30.516232,Raw_GL_Export.csv
TXN000016,2026-01-26,2026-01-17,2026-01,AUS01,5100,,Amazon,INV36201,,GBP,6625.17,GST,Payment for goods,Workday,2026-01-26,2026-01-17,6625.17,False,payment for goods,2026-02-23 16:50:30.516232,Raw_GL_Export.csv
TXN000017,01/22/2026,01/19/2026,2026-01,AUS01,5910,,MSFT,INV57013,PO2679,NZD,9259.64,GST,Payment for license,API Import,2026-01-22,2026-01-19,9259.64,False,payment for license,2026-02-23 16:50:30.516232,Raw_GL_Export.csv
TXN000018,28/01/2026,19/01/2026,2026-01,AUS01,5400,,Accenture Pty,INV60014,PO6122,NZD,31212.83,GST,Payment for license,SAP,2026-01-28,2026-01-19,31212.83,False,payment for license,2026-02-23 16:50:30.516232,Raw_GL_Export.csv
TXN000019,05/01/2025,04/27/2025,2025-05,AUS01,5610,,Optus Pty,INV87120,PO4218,USD,41025.74,INPUT,Payment for goods,Workday,2025-01-05,2025-04-27,41025.74,False,payment for goods,2026-02-23 16:50:30.516232,Raw_GL_Export.csv
TXN000020,15/01/2026,13/01/2026,2026-01,AUS01,5120,,Oracle,INV46583,PO3131,AUD,17036.2,EXPORT,Payment for goods,API Import,2026-01-15,2026-01-13,17036.2,False,payment for goods,2026-02-23 16:50:30.516232,Raw_GL_Export.csv
TXN000021,01/28/2026,01/27/2026,2026-01,AUS01,5310,,LinkedIn Corp,INV88234,,USD,1893.33,INPUT,Payment for license,Workday,2026-01-28,2026-01-27,1893.33,False,payment for license,2026-02-23 16:50:30.516232,Raw_GL_Export.csv
TXN000022,01/16/2026,01/14/2026,2026-01,AUS01,5900,,McKinsey,INV76209,,USD,43068.75,GST,Payment for license,API Import,2026-01-16,2026-01-14,43068.75,False,payment for license,2026-02-23 16:50:30.516232,Raw_GL_Export.csv
TXN000023,2026-02-13,2026-02-07,2026-02,AUS01,5210,,Workday,INV38632,PO9691,NZD,14964.89,INPUT,Payment for consulting,API Import,2026-02-13,2026-02-07,14964.89,False,payment for consulting,2026-02-23 16:50:30.516232,Raw_GL_Export.csv
TXN000024,2026-01-27,2026-01-25,2026-01,AUS01,5700,,WeWork Australia,INV15226,PO6258,GBP,10891.62,GST-FREE,Payment for consulting,SAP,2026-01-27,2026-01-25,10891.62,False,payment for consulting,2026-02-23 16:50:30.516232,Raw_GL_Export.csv
TXN000025,02/13/2026,02/04/2026,2026-02,AUS01,5800,,KPMG Australia,INV77411,PO8300,AUD,41018.98,INPUT,Payment for consulting,SAP,2026-02-13,2026-04-02,41018.98,False,payment for consulting,2026-02-23 16:50:30.516232,Raw_GL_Export.csv
TXN000026,10/05/2025,04/05/2025,2025-05,AUS01,5510,,Google,INV92173,,AUD,7616.03,GST,Payment for goods,Manual Entry,2025-05-10,2025-05-04,7616.03,False,payment for goods,2026-02-23 16:50:30.516232,Raw_GL_Export.csv
