transaction_id,rule_id,rule_name,severity,description,amount,vendor,account
TXN000001,EX001,Rule 1,MEDIUM,Rule 1,6049.77,Adobe,5620
TXN000006,EX001,Rule 1,MEDIUM,Rule 1,38560.86,Optus Pty,5900
TXN000009,EX001,Rule 1,MEDIUM,Rule 1,22938.226990000003,WeWork Australia,5310
TXN000011,EX001,Rule 1,MEDIUM,Rule 1,40344.7876,Atlassian Pty,5620
TXN000016,EX001,Rule 1,MEDIUM,Rule 1,12965.457690000001,Amazon,5100
TXN000021,EX001,Rule 1,MEDIUM,Rule 1,2891.11491,LinkedIn Corp,5310
TXN000022,EX001,Rule 1,MEDIUM,Rule 1,65765.98125,McKinsey,5900
TXN000026,EX001,Rule 1,MEDIUM,Rule 1,7616.03,Google,5510
TXN000029,EX001,Rule 1,MEDIUM,Rule 1,28899.88,Atlassian Pty,5700
TXN000032,EX001,Rule 1,MEDIUM,Rule 1,47394.880410000005,AWS,5010
TXN000035,EX001,Rule 1,MEDIUM,Rule 1,29017.5567,Hays,5310
TXN000041,EX001,Rule 1,MEDIUM,Rule 1,15552.88048,Salesforce,5210
TXN000044,EX001,Rule 1,MEDIUM,Rule 1,23202.9,ServiceNow Inc,5120
TXN000045,EX001,Rule 1,MEDIUM,Rule 1,21720.1,BCG,5410
TXN000046,EX001,Rule 1,MEDIUM,Rule 1,43258.71425,Adobe,5110
TXN000052,EX001,Rule 1,MEDIUM,Rule 1,26051.62,AWS,5200
TXN000057,EX001,Rule 1,MEDIUM,Rule 1,1136.8213,Hays,5620
TXN000058,EX001,Rule 1,MEDIUM,Rule 1,10061.951360000001,Microsoft,5120
TXN000060,EX001,Rule 1,MEDIUM,Rule 1,7429.78251,AWS,5400
TXN000066,EX001,Rule 1,MEDIUM,Rule 1,79032.1262,McKinsey,5320
TXN000068,EX001,Rule 1,MEDIUM,Rule 1,30367.23,AWS,5710
TXN000069,EX001,Rule 1,MEDIUM,Rule 1,18550.77003,Deloitte Touche,5520
TXN000072,EX001,Rule 1,MEDIUM,Rule 1,17988.25,Deloitte Touche,5300
TXN000073,EX001,Rule 1,MEDIUM,Rule 1,15198.301080000001,BCG,5800
TXN000075,EX001,Rule 1,MEDIUM,Rule 1,55181.7092,BCG,5620
TXN000077,EX001,Rule 1,MEDIUM,Rule 1,39510.98494,Accenture Pty,5110
TXN000078,EX001,Rule 1,MEDIUM,Rule 1,46190.45265000001,Amazon,5010
TXN000090,EX001,Rule 1,MEDIUM,Rule 1,34387.66034,Workday,5700
TXN000091,EX001,Rule 1,MEDIUM,Rule 1,24717.83688,EY Australia,5500
TXN000092,EX001,Rule 1,MEDIUM,Rule 1,24600.422814999998,Adobe,5000
TXN000101,EX001,Rule 1,MEDIUM,Rule 1,33383.649634999994,AusPost,5520
TXN000102,EX001,Rule 1,MEDIUM,Rule 1,32660.22,GCP,5200
TXN000107,EX001,Rule 1,MEDIUM,Rule 1,1794.36,Zoom,5510
TXN000114,EX001,Rule 1,MEDIUM,Rule 1,24811.229160000003,McKinsey,5200
TXN000117,EX001,Rule 1,MEDIUM,Rule 1,54885.82345,Deloitte Touche,5520
TXN000120,EX001,Rule 1,MEDIUM,Rule 1,49462.92059,Robert Half International,5200
TXN000127,EX001,Rule 1,MEDIUM,Rule 1,41789.55215,Federal Express,5120
TXN000129,EX001,Rule 1,MEDIUM,Rule 1,16587.14884,Federal Express,5610
TXN000145,EX001,Rule 1,MEDIUM,Rule 1,16693.416435,BCG,5100
TXN000147,EX001,Rule 1,MEDIUM,Rule 1,39558.228,Amazon,5520
TXN000157,EX001,Rule 1,MEDIUM,Rule 1,20555.73,LinkedIn Corp,5910
TXN000159,EX001,Rule 1,MEDIUM,Rule 1,32229.09124,Adobe,5920
TXN000160,EX001,Rule 1,MEDIUM,Rule 1,51952.59712,LinkedIn Corp,5520
TXN000167,EX001,Rule 1,MEDIUM,Rule 1,38233.682609999996,Slack,5500
TXN000168,EX001,Rule 1,MEDIUM,Rule 1,85558.94099999999,Hays,5110
TXN000173,EX001,Rule 1,MEDIUM,Rule 1,2667.62561,EY Australia,5710
TXN000174,EX001,Rule 1,MEDIUM,Rule 1,34817.53929,Google,5500
TXN000178,EX001,Rule 1,MEDIUM,Rule 1,26192.72262,Seek Limited,5300
TXN000181,EX001,Rule 1,MEDIUM,Rule 1,37442.86,AWS,5520
TXN000186,EX001,Rule 1,MEDIUM,Rule 1,62992.97385,GCP,5610
TXN000187,EX001,Rule 1,MEDIUM,Rule 1,41986.93,Zoom,5500
TXN000188,EX001,Rule 1,MEDIUM,Rule 1,38511.78343,Hays,5710
TXN000192,EX001,Rule 1,MEDIUM,Rule 1,15263.57,BCG,5010
TXN000193,EX001,Rule 1,MEDIUM,Rule 1,33122.14,Salesforce,5210
TXN000195,EX001,Rule 1,MEDIUM,Rule 1,29807.318049999998,SAP,5900
TXN000196,EX001,Rule 1,MEDIUM,Rule 1,23125.283,Microsoft,5810
TXN000197,EX001,Rule 1,MEDIUM,Rule 1,63327.5016,Optus Pty,5120
TXN000201,EX001,Rule 1,MEDIUM,Rule 1,47134.580879999994,Atlassian Pty,5010
TXN000202,EX001,Rule 1,MEDIUM,Rule 1,25960.70746,Deloitte Touche,5200
TXN000204,EX001,Rule 1,MEDIUM,Rule 1,76632.01030000001,Accenture Pty,5210
TXN000211,EX001,Rule 1,MEDIUM,Rule 1,61761.7296,Regus Australia,5120
TXN000217,EX001,Rule 1,MEDIUM,Rule 1,39157.3206,WeWork Australia,5110
TXN000220,EX001,Rule 1,MEDIUM,Rule 1,44720.41,Atlassian Pty,5120
TXN000225,EX001,Rule 1,MEDIUM,Rule 1,40889.27,Robert Half International,5610
TXN000227,EX001,Rule 1,MEDIUM,Rule 1,57437.29569,AusPost,5800
TXN000228,EX001,Rule 1,MEDIUM,Rule 1,18484.78,Google,5810
TXN000232,EX001,Rule 1,MEDIUM,Rule 1,21471.42889,Atlassian Pty,5710
