transaction_id,anomaly_type,severity,description,column,posting_date,fiscal_period,amount,vendor,original_value,currency,period
TXN000729,INVALID_DATE,CRITICAL,Invalid date value: 99/99/9999,posting_date_raw,,,,,,,
TXN000730,INVALID_DATE,CRITICAL,Invalid date value: 99/99/9999,posting_date_raw,,,,,,,
TXN000731,INVALID_DATE,CRITICAL,Invalid date value: INVALID,posting_date_raw,,,,,,,
TXN000732,INVALID_DATE,CRITICAL,Invalid date value: INVALID,posting_date_raw,,,,,,,
TXN000733,INVALID_DATE,CRITICAL,Invalid date value: INVALID,posting_date_raw,,,,,,,
TXN000734,INVALID_DATE,CRITICAL,Invalid date value: INVALID,posting_date_raw,,,,,,,
TXN000735,INVALID_DATE,CRITICAL,Invalid date value: 2026-13-45,posting_date_raw,,,,,,,
TXN000736,INVALID_DATE,CRITICAL,Invalid date value: 2026-13-45,posting_date_raw,,,,,,,
TXN000737,INVALID_DATE,CRITICAL,Invalid date value: 2026-13-45,posting_date_raw,,,,,,,
TXN000738,INVALID_DATE,CRITICAL,Invalid date value: INVALID,posting_date_raw,,,,,,,
TXN000739,INVALID_DATE,CRITICAL,Invalid date value: 32/13/2026,posting_date_raw,,,,,,,
TXN000740,INVALID_DATE,CRITICAL,Invalid date value: 2026-13-45,posting_date_raw,,,,,,,
TXN000741,INVALID_DATE,CRITICAL,Invalid date value: INVALID,posting_date_raw,,,,,,,
TXN000742,INVALID_DATE,CRITICAL,Invalid date value: 32/13/2026,posting_date_raw,,,,,,,
TXN000743,INVALID_DATE,CRITICAL,Invalid date value: 2026-13-45,posting_date_raw,,,,,,,
TXN000744,INVALID_DATE,CRITICAL,Invalid date value: 2026-13-45,posting_date_raw,,,,,,,
TXN000745,INVALID_DATE,CRITICAL,Invalid date value: 99/99/9999,posting_date_raw,,,,,,,
TXN000746,INVALID_DATE,CRITICAL,Invalid date value: 2026-13-45,posting_date_raw,,,,,,,
TXN000747,INVALID_DATE,CRITICAL,Invalid date value: INVALID,posting_date_raw,,,,,,,
TXN000748,INVALID_DATE,CRITICAL,Invalid date value: 32/13/2026,posting_date_raw,,,,,,,
TXN000749,INVALID_DATE,CRITICAL,Invalid date value: INVALID,posting_date_raw,,,,,,,
TXN000750,INVALID_DATE,CRITICAL,Invalid date value: 99/99/9999,posting_date_raw,,,,,,,
