transaction_id,posting_date_raw,posting_date,invoice_date_raw,invoice_date,fiscal_period,fiscal_year,fiscal_month,entity_code,account_code_raw,cost_center_raw,vendor_name_raw,invoice_number,po_number,currency_code,amount_raw,amount,amount_is_negative,tax_code,narrative,source_system,processing_timestamp,data_quality_score,anomaly_count
TXN000001,23-01-2026,2026-01-23,16-01-2026,2026-01-16,2026-01,2026,01,AUS01,5620,,Adobe,INV30892,,AUD,6049.77,6049.77,False,GST,Payment for license,Manual Entry,2026-02-22 23:27:14.356841,83.92156862745098,0
TXN000002,26-02-2026,2026-02-26,23-02-2026,2026-02-23,2026-02,2026,02,AUS01,5610,,Federal Express,INV73318,PO2850,NZD,27549.99,27549.99,False,GST-FREE,Payment for consulting,Manual Entry,2026-02-22 23:27:14.356841,83.92156862745098,0
TXN000003,2025-08-02,2025-08-02,2025-07-28,2025-07-28,2025-08,2025,08,AUS01,5620,,McKinsey,INV97797,PO9504,AUD,31735.11,31735.11,False,GST-FREE,Payment for license,API Import,2026-02-22 23:27:14.356841,83.92156862745098,0
TXN000004,04-10-2025,2025-10-04,30-09-2025,2025-09-30,2025-10,2025,10,AUS01,5500,,WeWork Australia,INV11526,PO3571,GBP,6774.58,6774.58,False,GST,Payment for license,Manual Entry,2026-02-22 23:27:14.356841,83.92156862745098,0
TXN000005,28-01-2026,2026-01-28,25-01-2026,2026-01-25,2026-01,2026,01,AUS01,5020,,Hays,INV16599,PO7203,NZD,10916.04,10916.04,False,INPUT,Payment for consulting,Oracle,2026-02-22 23:27:14.356841,83.92156862745098,0
TXN000006,03-01-2026,2026-01-03,26-12-2025,2025-12-26,2026-01,2026,01,AUS01,5900,,Optus Pty,INV51426,,AUD,38560.86,38560.86,False,EXPORT,Payment for consulting,SAP,2026-02-22 23:27:14.356841,83.92156862745098,0
TXN000007,04-01-2026,2026-01-04,28-12-2025,2025-12-28,2026-01,2026,01,AUS01,5010,,AWS,INV76628,PO8474,AUD,35651.07,35651.07,False,INPUT,Payment for subscription,Workday,2026-02-22 23:27:14.356841,83.92156862745098,0
TXN000008,2026-01-27,2026-01-27,2026-01-23,2026-01-23,2026-01,2026,01,AUS01,5920,,LinkedIn Corp,INV96136,PO8414,NZD,25250.77,25250.77,False,EXPORT,Payment for services,SAP,2026-02-22 23:27:14.356841,83.92156862745098,0
TXN000009,25/10/2025,2025-10-25,24/10/2025,2025-10-24,2025-10,2025,10,AUS01,5310,,WeWork Australia,INV23935,,NZD,24691.31,24691.31,False,INPUT,Payment for goods,Manual Entry,2026-02-22 23:27:14.356841,83.92156862745098,0
TXN000010,05-10-2025,2025-10-05,03-10-2025,2025-10-03,2025-10,2025,10,AUS01,5220,,SAP,INV38257,PO4122,USD,5521.49,5521.49,False,EXPORT,Payment for subscription,SAP,2026-02-22 23:27:14.356841,83.92156862745098,0
TXN000011,25-02-2026,2026-02-25,24-02-2026,2026-02-24,2026-02,2026,02,AUS01,5620,,Atlassian Pty,INV75382,,GBP,20636.72,20636.72,False,GST-FREE,Payment for services,API Import,2026-02-22 23:27:14.356841,83.92156862745098,0
TXN000012,14-02-2026,2026-02-14,05-02-2026,2026-02-05,2026-02,2026,02,AUS01,5810,,Oracle,INV23573,PO6273,USD,32899.21,32899.21,False,GST-FREE,Payment for license,Manual Entry,2026-02-22 23:27:14.356841,83.92156862745098,0
TXN000013,14/02/2026,2026-02-14,09/02/2026,2026-02-09,2026-02,2026,02,AUS01,5400,,BCG,INV28111,PO9393,NZD,20432.77,20432.77,False,GST-FREE,Payment for subscription,API Import,2026-02-22 23:27:14.356841,83.92156862745098,0
TXN000014,11/28/2025,2025-11-28,11/19/2025,2025-11-19,2025-11,2025,11,AUS01,5620,,Workday,INV99995,PO3173,USD,9516.1,9516.1,False,INPUT,Payment for goods,API Import,2026-02-22 23:27:14.356841,83.92156862745098,0
